name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
westerveldite,NA,FeAs,cr,PPB+08,NA,15.Aug.08,-10363,-10399,14.94,12.04,16.64,6.68,11.11,1.82,0,0,0,0,1250
microflore,MF,C7H17O7N,cr,TSD97,NA,31.Oct.06,-774380,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
plantes,PL,C34H54O25N,cr,TSD97,NA,31.Oct.06,-3419930,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
"acide fulvique",AF,C30H40O24N,cr,TSD97,NA,31.Oct.06,-2901050,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
"acide humique",AH,C20H24O12N,cr,TSD97,NA,31.Oct.06,-1775100,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
humine,HU,C72H90O36N,cr,TSD97,NA,31.Oct.06,-6542300,NA,NA,NA,NA,0,0,0,0,0,0,0,NA
natroalunite,NA,NaAl3(SO4)2(OH)6,cr,SAJ00,NA,13.Apr.09,-1104780.1,-1226570.3,76.74,NA,NA,153.322,-1.881,-55.956,0,0,0,0,NA
jarosite,NA,KFe3(SO4)2(OH)6,cr,SAJ00,NA,13.Apr.09,-791061.2,-887930.2,92.949,NA,NA,147.44,23.599,-47.706,0,0,0,0,NA
natrojarosite,NA,NaFe3(SO4)2(OH)6,cr,SAJ00,NA,13.Apr.09,-778370,-877892,91.396,NA,NA,147.321,21.8,-48.7,0,0,0,0,NA
"hydronium jarosite",NA,(H3O)Fe3(SO4)2(OH)6,cr,MSB+04,NA,13.Apr.09,-771128.1,-901099.4,107.122,NA,NA,68.642,150.12,-7.854,0,0,0,0,400
melanterite,NA,FeSO4*7H2O,cr,PK95,NA,13.Apr.09,-599366.6,-720028.7,97.801,NA,NA,0,0,0,0,0,0,0,NA
coquimbite,NA,Fe1.47Al0.53(SO4)3(H2O)9.65,cr,MNM+06,NA,13.Apr.09,-1158126.2,-1371510.5,152.557,NA,265.32,0,0,0,0,0,0,0,NA
ferricopiapite,NA,Fe4.78(SO4)6(OH)2.34(H2O)20.71,cr,MNM+06,NA,13.Apr.09,-2411520.1,-2878848,346.367,NA,574.84,0,0,0,0,0,0,0,NA
rhomboclase,NA,(H3O)1.34Fe(SO4)2.17(H2O)3.06,cr,MNM+06,NA,13.Apr.09,-642447.4,-765081.3,90.846,NA,145.24,0,0,0,0,0,0,0,NA
goethite,NA,FeOOH,cr,MGN03,MLS+03,13.Apr.09,-117065,-134010.5,14.269,17.7724665391969,20.881,0.298,55.736,0.75,0,0,0,0,375
lepidocrocite,NA,FeOOH,cr,MGN03,MLS+03,13.Apr.09,-114746.7,-131309.8,15.559,16.5248565965583,22.395,14.283,14.465,-1.847,0,0,0,0,390
maghemite,NA,Fe2O3,cr,MGN03,MLS+03,13.Apr.09,-173972.3,-193140.5,22.228,25.0215105162524,32.779,25.526,15.557,-4.508,0,0,0,0,760
